word,Frequency,class_label
popes,"	1",0
populace,"	2",0
popular,"	32",0
popularity,"	4",0
popularized,"	2",0
popularly,"	1",0
population,"	1",0
populations,"	1",0
por,"	2",0
porcelain,"	2",0
pork,"	1",0
pornography,"	1",0
portable,"	1",0
portal,"	4",0
portfolio,"	6",0
portfolios,"	3",0
portions,"	2",0
portland,"	1",0
portlets,"	2",0
portrait,"	5",0
portraits,"	3",0
portray,"	1",0
portrayal,"	2",0
pose,"	2",0
posed,"	1",0
poses,"	2",0
position,"	7",0
positions,"	7",0
positive,"	6",0
positively,"	1",0
positivism,"	1",0
posits,"	2",0
possess,"	3",0
possesses,"	1",0
possessing,"	1",0
possibilities,"	5",0
possibility,"	2",0
possible,"	11",0
possibly,"	3",0
post,"	18",0
postal,"	1",0
poster,"	4",0
posters,"	1",0
postgrad,"	1",0
postgraduate,"	4",0
posthumous,"	1",0
postmodern,"	6",0
postmodernism,"	3",0
postmodernity,"	1",0
postscript,"	3",0
posture,"	1",0
postures,"	3",0
potent,"	1",0
potential,"	8",0
potentially,"	1",0
potter,"	2",0
pottery,"	9",0
pounce,"	1",0
pounced,"	4",0
pouncing,"	1",0
poured,"	1",0
poverty,"	1",0
powder,"	5",0
power,"	11",0
powerful,"	4",0
powerfully,"	1",0
powers,"	3",0
powhida,"	1",0
pozorje,"	1",0
pp,"	19",0
pr,"	2",0
pra,"	1",0
praa,"	1",0
praca,"	4",0
practical,"	14",0
practicality,"	1",0
practice,"	66",0
practiced,"	3",0
practices,"	11",0
practicing,"	3",0
practise,"	2",0
practitioner,"	6",0
practitioners,"	1",0
prada,"	10",0
praise,"	1",0
praised,"	4",0
pravda,"	1",0
prayed,"	1",0
praying,"	1",0
pre,"	12",0
precarious,"	1",0
preceded,"	2",0
precedence,"	2",0
precedents,"	1",0
precepts,"	2",0
precious,"	1",0
precipitates,"	1",0
precise,"	3",0
precisely,"	2",0
precursors,"	1",0
predecessors,"	1",0
predicated,"	1",0
predict,"	3",0
predictable,"	2",0
predominantly,"	4",0
predominately,"	1",0
preexisting,"	1",0
prefer,"	1",0
preference,"	1",0
preferences,"	2",0
preferred,"	3",0
preferring,"	1",0
prehistoric,"	3",0
prehistory,"	1",0
prejudicial,"	1",0
prelates,"	1",0
preliminary,"	1",0
premier,"	1",0
premiers,"	2",0
preparation,"	2",0
preparatory,"	1",0
prepare,"	4",0
prepared,"	2",0
prescribes,"	1",0
prescription,"	1",0
presence,"	7",0
present,"	28",0
presentation,"	10",0
presentational,"	1",0
presentations,"	4",0
presented,"	18",0
presenters,"	6",0
presenting,"	4",0
presents,"	3",0
preservation,"	5",0
preservationists,"	1",0
preserve,"	1",0
preserved,"	3",0
preserves,"	1",0
preserving,"	4",0
presided,"	2",0
presidency,"	1",0
president,"	5",0
presidential,"	1",0
press,"	15",0
pressure,"	4",0
pressures,"	1",0
pressuring,"	1",0
prestige,"	2",0
prestigious,"	1",0
prestoungrange,"	2",0
presumably,"	3",0
presuming,"	1",0
pretense,"	1",0
prevailing,"	1",0
prevalent,"	1",0
prevent,"	4",0
prevented,"	1",0
preview,"	3",0
previews,"	1",0
previous,"	6",0
previously,"	4",0
prey,"	1",0
price,"	12",0
prices,"	12",0
pricing,"	1",0
pricked,"	3",0
pride,"	3",0
priest,"	1",0
priests,"	1",0
prifest,"	2",0
primacy,"	1",0
primarily,"	10",0
primary,"	13",0
prime,"	2",0
primers,"	1",0
primitive,"	3",0
primitives,"	1",0
princeton,"	2",0
principal,"	4",0
principality,"	1",0
principally,"	3",0
principle,"	3",0
principles,"	7",0
print,"	12",0
printed,"	17",0
printer,"	1",0
printers,"	1",0
printing,"	9",0
printmaking,"	7",0
prints,"	8",0
printsec,"	9",0
prior,"	3",0
priorities,"	1",0
pris,"	1",0
prishtina,"	10",0
prison,"	3",0
prisons,"	1",0
pristina,"	2",0
pritur,"	1",0
private,"	15",0
privilege,"	2",0
privileged,"	2",0
prize,"	6",0
prizes,"	1",0
prm,"	1",0
probably,"	5",0
problem,"	17",0
problematic,"	4",0
problems,"	10",0
procedural,"	1",0
proceed,"	2",0
proceeds,"	2",0
process,"	50",0
processed,"	1",0
processes,"	16",0
processing,"	2",0
procession,"	4",0
proclamation,"	1",0
producci,"	1",0
produccion,"	1",0
produce,"	14",0
produced,"	24",0
producer,"	4",0
producers,"	3",0
produces,"	4",0
producing,"	10",0
product,"	29",0
production,"	51",0
productions,"	1",0
productivity,"	4",0
products,"	32",0
professes,"	1",0
profession,"	1",0
professional,"	31",0
professionally,"	3",0
professionals,"	7",0
professions,"	2",0
professor,"	4",0
profile,"	5",0
profiles,"	2",0
profilesModels,"	1",0
profit,"	10",0
profits,"	2",0
program,"	25",0
programmatically,"	1",0
programme,"	2",0
programmes,"	1",0
programming,"	1",0
programs,"	22",0
progress,"	4",0
progresses,"	1",0
progression,"	1",0
progressive,"	1",0
prohibited,"	2",0
project,"	54",0
projected,"	1",0
projection,"	1",0
projects,"	26",0
prolific,"	1",0
prologue,"	1",0
prometeogallery,"	1",0
prominence,"	2",0
prominent,"	2",0
promo,"	1",0
promote,"	6",0
promoted,"	5",0
promoter,"	1",0
promotes,"	2",0
promoting,"	7",0
promotion,"	5",0
promotional,"	4",0
promotions,"	4",0
promovim,"	2",0
prompted,"	1",0
promptly,"	1",0
proof,"	4",0
propaganda,"	4",0
propagandist,"	1",0
propagandistic,"	1",0
propagation,"	1",0
proper,"	7",0
properly,"	3",0
properties,"	7",0
property,"	12",0
prophecy,"	5",0
proponents,"	4",0
proportion,"	3",0
proportions,"	6",0
proposal,"	2",0
propose,"	4",0
proposed,"	7",0
proposes,"	1",0
proprietary,"	1",0
proprietor,"	1",0
propulsion,"	1",0
prose,"	2",0
prosection,"	1",0
prosecute,"	1",0
prospect,"	1",0
prospective,"	1",0
prospello,"	1",0
protagonistas,"	1",0
protect,"	5",0
protected,"	2",0
protection,"	5",0
protectionists,"	1",0
protective,"	1",0
protects,"	1",0
protege,"	2",0
proteges,"	1",0
protest,"	1",0
protests,"	1",0
prototypes,"	1",0
prove,"	3",0
proved,"	1",0
proven,"	1",0
proves,"	2",0
provide,"	10",0
provided,"	7",0
providers,"	2",0
provides,"	11",0
providing,"	7",0
provinces,"	1",0
provocative,"	1",0
provoke,"	3",0
provoked,"	2",0
provokes,"	1",0
provoking,"	1",0
pseudonym,"	1",0
psychedelics,"	1",0
psychiatric,"	2",0
psychiatrist,"	1",0
psychological,"	5",0
psychologist,"	1",0
psychologists,"	1",0
psychology,"	7",0
psychosomatic,"	1",0
psychotherapists,"	1",0
pt,"	1",0
pub,"	2",0
pubType,"	1",0
public,"	64",0
publication,"	4",0
publications,"	3",0
publicity,"	1",0
publicly,"	3",0
publics,"	1",0
publicspectacle,"	1",0
publiku,"	2",0
published,"	14",0
publisher,"	259",0
publisher2,"	1",0
publishers,"	12",0
publishersweekly,"	1",0
publishing,"	6",0
pubmed,"	1",0
pubs,"	1",0
puck,"	2",0
pulled,"	1",0
punishment,"	3",0
pupa,"	2",0
puppet,"	1",0
puppetry,"	1",0
purchase,"	2",0
purchased,"	2",0
pure,"	2",0
purely,"	3",0
purged,"	1",0
purity,"	1",0
purpose,"	28",0
purposes,"	13",0
purse,"	1",0
pursue,"	1",0
pursues,"	1",0
pursuit,"	3",0
pursuits,"	1",0
push,"	3",0
pushed,"	1",0
pushes,"	1",0
put,"	9",0
puts,"	2",0
putting,"	1",0
pw,"	1",0
pyeglobal,"	1",0
pyramids,"	1",0
q,"	16",0
q3BkUJi6K8TctAa,"	1",0
q3NUAAAAYAAJ,"	2",0
qKsMmnzLrt,"	1",0
qkk,"	2",0
qn,"	1",0
qsKNwB2gL5wC,"	1",0
qua,"	1",0
qualification,"	1",0
qualifications,"	1",0
qualified,"	2",0
qualify,"	1",0
qualitative,"	1",0
qualities,"	13",0
quality,"	20",0
quango,"	1",0
quantify,"	1",0
quantities,"	3",0
quantum,"	3",0
quarreling,"	1",0
quarter,"	1",0
quarterly,"	1",0
quebec,"	1",0
quebec2008,"	1",0
queen,"	1",0
queensu,"	1",0
query,"	3",0
question,"	9",0
questioning,"	3",0
questions,"	3",0
quick,"	1",0
quickly,"	4",0
quilt,"	1",0
quit,"	1",0
quite,"	5",0
quot,"	1661",0
quotation,"	2",0
quote,"	25",0
r,"	20",0
rJ3WAAAAMAAJ,"	1",0
race,"	1",0
racially,"	1",0
racing,"	1",0
racism,"	1",0
radar,"	1",0
radiating,"	1",0
radical,"	2",0
radio,"	8",0
ragnar,"	1",0
rags,"	1",0
raidersofthebestart,"	2",0
railroad,"	1",0
railway,"	2",0
raise,"	15",0
raised,"	4",0
raises,"	2",0
raising,"	9",0
raisonn,"	1",0
ran,"	1",0
random,"	4",0
randomly,"	1",0
randomness,"	1",0
range,"	25",0
ranges,"	3",0
ranging,"	4",0
rank,"	4",0
ranked,"	1",0
ranking,"	2",0
ranks,"	1",0
rap,"	1",0
rapid,"	3",0
rapidly,"	2",0
rare,"	1",0
rarely,"	5",0
rarity,"	1",0
rate,"	6",0
rated,"	1",0
rates,"	5",0
rather,"	37",0
rating,"	1",0
rational,"	6",0
rationale,"	1",0
rationalist,"	2",0
rationality,"	2",0
ratios,"	1",0
ravages,"	2",0
raw,"	1",0
rays,"	1",0
rdoc,"	1",0
re,"	16",0
reach,"	5",0
reached,"	7",0
reaches,"	1",0
reaching,"	1",0
reaction,"	5",0
reactions,"	3",0
reacts,"	1",0
read,"	4",0
reader,"	7",0
readers,"	4",0
reading,"	12",0
readinger,"	1",0
readings,"	3",0
reads,"	1",0
ready,"	2",0
readymade,"	1",0
readymades,"	2",0
real,"	12",0
realcolorwheel,"	1",0
realisation,"	1",0
realised,"	1",0
realising,"	1",0
realism,"	8",0
realist,"	1",0
realistic,"	6",0
realistically,"	1",0
reality,"	14",0
realization,"	1",0
realize,"	1",0
realized,"	3",0
really,"	8",0
realm,"	2",0
reaped,"	1",0
rearranged,"	1",0
rearrangement,"	1",0
reason,"	4",0
reasoning,"	1",0
reasons,"	10",0
reassert,"	1",0
rebel,"	1",0
rebellion,"	1",0
reborn,"	1",0
rebuilt,"	1",0
receive,"	2",0
received,"	6",0
recent,"	14",0
recently,"	2",0
receptacle,"	1",0
recession,"	1",0
recid,"	1",0
reclassified,"	1",0
recognised,"	1",0
recognition,"	8",0
recognizable,"	3",0
recognize,"	3",0
recognized,"	10",0
recognizes,"	1",0
recognizing,"	2",0
recommended,"	1",0
recommending,"	1",0
reconcile,"	1",0
reconsideration,"	1",0
reconstruction,"	2",0
record,"	3",0
recordDetails,"	2",0
recorded,"	3",0
recording,"	9",0
recordings,"	2",0
records,"	4",0
recover,"	1",0
recovered,"	1",0
recreate,"	1",0
recreates,"	1",0
recreation,"	1",0
recruited,"	1",0
recurred,"	2",0
recurring,"	1",0
recycled,"	3",0
recycledpaper,"	2",0
recycling,"	4",0
recyclingpoint,"	2",0
red,"	9",0
reddin,"	1",0
reddish,"	1",0
redefined,"	1",0
redefinition,"	2",0
redeyechicago,"	1",0
redhen,"	1",0
redir,"	9",0
reduce,"	2",0
reduced,"	2",0
reduces,"	1",0
reducing,"	1",0
reduction,"	1",0
reed,"	1",0
reestablished,"	1",0
ref,"	1685",0
refWorkId,"	1",0
refer,"	16",0
reference,"	14",0
referenced,"	1",0
references,"	15",0
referer,"	1",0
referred,"	25",0
referring,"	2",0
refers,"	16",0
refimprove,"	1",0
refined,"	4",0
refines,"	1",0
reflect,"	4",0
reflected,"	3",0
reflecting,"	1",0
reflection,"	8",0
reflections,"	2",0
reflective,"	4",0
reflects,"	3",0
reflist,"	41",0
reform,"	4",0
reforms,"	1",0
refs,"	2",0
refund,"	2",0
refused,"	1",0
refute,"	1",0
regard,"	5",0
regarded,"	14",0
regarding,"	2",0
regardless,"	4",0
regards,"	2",0
regenerated,"	1",0
regeneration,"	1",0
regeringen,"	1",0
reggae,"	1",0
regime,"	3",0
regimes,"	2",0
region,"	12",0
regional,"	8",0
regions,"	1",0
register,"	4",0
registered,"	4",0
registers,"	1",0
registration,"	6",0
regn,"	2",0
regression,"	2",0
regressive,"	1",0
regular,"	4",0
regularly,"	1",0
regulate,"	1",0
regulates,"	1",0
regulation,"	2",0
regulations,"	1",0
regulative,"	1",0
regulatory,"	1",0
rehearse,"	1",0
reign,"	1",0
reincarnated,"	1",0
reincarnation,"	1",0
reinforced,"	2",0
reinterpretation,"	1",0
reiterate,"	1",0
reiterated,"	1",0
rejected,"	1",0
rejecting,"	1",0
rejection,"	3",0
rejections,"	1",0
rejects,"	1",0
rejoicing,"	1",0
relate,"	3",0
related,"	26",0
relates,"	2",0
relating,"	1",0
relation,"	9",0
relational,"	3",0
relations,"	2",0
relationship,"	15",0
relationships,"	5",0
relative,"	7",0
relatively,"	12",0
relatives,"	2",0
relativism,"	15",0
relativist,"	1",0
relativists,"	1",0
relativity,"	1",0
relaxing,"	1",0
release,"	2",0
released,"	7",0
releasedetail,"	1",0
releases,"	3",0
relevance,"	2",0
relevant,"	4",0
reliably,"	1",0
reliance,"	1",0
relic,"	1",0
relieve,"	1",0
religion,"	9",0
religions,"	2",0
religious,"	17",0
relive,"	1",0
relocking,"	1",0
reluctance,"	1",0
reluctant,"	1",0
remain,"	4",0
remained,"	2",0
remaining,"	1",0
remains,"	10",0
rembrandtresearchproject,"	1",0
remedies,"	2",0
remembrance,"	1",0
reminder,"	1",0
reminiscent,"	1",0
remove,"	3",0
removed,"	11",0
removing,"	1",0
remuneration,"	1",0
remusicafestival,"	3",0
renaissance,"	2",0
rendered,"	1",0
rendering,"	4",0
rendition,"	1",0
renovation,"	1",0
renowned,"	6",0
repeated,"	5",0
repeatedly,"	1",0
repertoire,"	2",0
repetition,"	4",0
repetitive,"	4",0
replace,"	1",0
replaced,"	1",0
replacing,"	1",0
replays,"	1",0
replica,"	1",0
replicas,"	1",0
replied,"	2",0
report,"	1",0
reported,"	2",0
reportedly,"	1",0
reporters,"	1",0
reports,"	2",0
repositories,"	2",0
repository,"	3",0
represent,"	6",0
representation,"	6",0
representational,"	2",0
representations,"	5",0
representative,"	3",0
representatives,"	3",0
represented,"	1",0
representing,"	5",0
represents,"	3",0
repressed,"	1",0
repression,"	1",0
reprint,"	3",0
reprinted,"	2",0
reproduce,"	1",0
reproduced,"	3",0
reproducible,"	2",0
reproducing,"	1",0
reproduction,"	8",0
reproductions,"	1",0
republican,"	2",0
republicart,"	1",0
repudiated,"	1",0
repulsive,"	1",0
repurpose,"	9",0
repurposed,"	7",0
repurposing,"	9",0
reputation,"	3",0
request,"	1",0
require,"	7",0
required,"	12",0
requirement,"	1",0
requirements,"	8",0
requires,"	7",0
requiring,"	1",0
rer,"	4",0
res,"	5",0
rescue,"	3",0
research,"	36",0
researchers,"	1",0
researches,"	1",0
resell,"	1",0
resembling,"	2",0
resent,"	1",0
reserved,"	1",0
resha,"	2",0
residence,"	2",0
residencies,"	2",0
residency,"	10",0
resident,"	1",0
residential,"	1",0
residents,"	2",0
resides,"	1",0
residing,"	1",0
residue,"	1",0
resist,"	1",0
resistant,"	3",0
resisting,"	1",0
resized,"	1",0
resmgr,"	1",0
resnum,"	1",0
resolution,"	2",0
resolved,"	1",0
resonate,"	1",0
resource,"	14",0
resources,"	41",0
respect,"	3",0
respectful,"	1",0
respective,"	5",0
respectively,"	1",0
respond,"	3",0
responded,"	1",0
response,"	9",0
responsibilities,"	1",0
responsible,"	1",0
responsibly,"	1",0
rest,"	8",0
restoration,"	3",0
restored,"	1",0
restrict,"	3",0
restricted,"	3",0
restriction,"	1",0
restrictions,"	4",0
rests,"	1",0
result,"	22",0
resultant,"	1",0
resulted,"	2",0
resulting,"	6",0
results,"	9",0
resume,"	1",0
resumption,"	1",0
retain,"	2",0
retentive,"	1",0
rethinking,"	1",0
retired,"	1",0
retirement,"	2",0
retooling,"	1",0
retouched,"	4",0
retrieved,"	4",0
retro,"	1",0
retrospective,"	3",0
return,"	12",0
returned,"	8",0
returning,"	1",0
returns,"	2",0
reunion,"	1",0
reunited,"	2",0
reuse,"	4",0
rev,"	1",0
reveal,"	4",0
revealed,"	1",0
reveals,"	1",0
revenged,"	1",0
revenue,"	5",0
reversal,"	1",0
reverse,"	3",0
reverts,"	1",0
review,"	20",0
reviewed,"	1",0
reviews,"	3",0
reviewsinculture,"	1",0
revision,"	1",0
revisions,"	2",0
revistaenie,"	1",0
revitalization,"	1",0
revival,"	2",0
revolutionary,"	1",0
revolving,"	1",0
reward,"	1",0
rewarded,"	1",0
rewards,"	1",0
rewording,"	1",0
rez,"	2",0
rg,"	1",0
rgb,"	1",0
rgen,"	2",0
rgertum,"	1",0
rhetoric,"	3",0
rhymes,"	1",0
rhythm,"	7",0
rhythmic,"	2",0
ri,"	1",0
rib,"	1",0
ribbon,"	1",0
ricault,"	2",0
rich,"	5",0
richness,"	1",0
ridiculous,"	1",0
rie,"	1",0
right,"	34",0
rightdrivejeeps4postal,"	1",0
rightness,"	1",0
rights,"	4",0
rigid,"	1",0
rignon,"	1",0
rigorous,"	2",0
rigors,"	1",0
rings,"	2",0
rinj,"	2",0
rio,"	5",0
riotimesonline,"	1",0
riots,"	1",0
risd,"	1",0
rise,"	10",0
rising,"	3",0
risk,"	1",0
risme,"	1",0
rites,"	1",0
ritual,"	1",0
rituals,"	1",0
rivalry,"	1",0
river,"	3",0
rivera,"	2",0
riverkings,"	1",0
riveted,"	1",0
rkomb,"	1",0
rks,"	13",0
rlanda,"	1",0
rnjoftim,"	1",0
ro,"	2",0
road,"	1",0
roadmap,"	1",0
roaming,"	1",0
roasted,"	2",0
robber,"	5",0
robbers,"	6",0
robbery,"	1",0
robe,"	1",0
robes,"	1",0
rock,"	5",0
rocks,"	1",0
role,"	24",0
roles,"	4",0
rollcall,"	1",0
rolled,"	2",0
roller,"	1",0
rolling,"	4",0
rollingfilm,"	2",0
rollins,"	3",0
rolls,"	1",0
roman,"	1",0
romantic,"	2",0
romanticism,"	1",0
rome,"	1",0
room,"	11",0
rooms,"	6",0
rooted,"	1",0
roots,"	5",0
rorylewisphotography,"	1",0
rose,"	1",0
rotor,"	2",0
rotordb,"	1",0
roughly,"	3",0
roukaerts,"	1",0
round,"	1",0
rounded,"	1",0
rounds,"	1",0
route,"	1",0
routine,"	2",0
routledge,"	1",0
rowman,"	3",0
rowspan,"	3",0
royal,"	8",0
royalacademy,"	1",0
rpmurals,"	1",0
rre,"	1",0
rrhi20,"	1",0
rritet,"	1",0
rsc,"	1",0
rst,"	1",0
rttemberg,"	1",0
ru,"	6",0
rubbish,"	1",0
rude,"	1",0
rug,"	2",0
ruining,"	1",0
ruins,"	4",0
rule,"	1",0
ruled,"	1",0
ruler,"	2",0
rulers,"	2",0
rules,"	2",0
ruling,"	3",0
rump,"	1",0
run,"	2",0
runaway,"	1",0
running,"	8",0
runs,"	2",0
rural,"	4",0
ruse,"	1",0
rushed,"	1",0
ruskin,"	1",0
rved,"	1",0
s,"	358",0
s1154318,"	1",0
s11759,"	1",0
s4806,"	1",0
sPGdBxzaWj0C,"	1",0
sa,"	10",0
sabinebrosche,"	1",0
sacred,"	4",0
sacrifice,"	1",0
sacro,"	2",0
sacrum,"	1",0
safely,"	1",0
safety,"	1",0
sage,"	1",0
saic,"	2",0
said,"	15",0
saint,"	1",0
saints,"	1",0
sake,"	5",0
salary,"	1",0
sale,"	4",0
sales,"	2",0
salient,"	1",0
salons,"	1",0
salted,"	1",0
saltz,"	1",0
salvaged,"	2",0
samba,"	1",0
same,"	40",0
sample,"	2",0
samples,"	1",0
sancta,"	1",0
sanctissim,"	1",0
sand,"	1",0
santa,"	1",0
sas,"	1",0
sat,"	1",0
satiric,"	1",0
satisfaction,"	1",0
satisfactory,"	1",0
satisfied,"	1",0
satisfy,"	2",0
satisfying,"	2",0
saving,"	1",0
savor,"	1",0
saw,"	22",0
say,"	12",0
saying,"	2",0
sayings,"	1",0
saylor,"	1",0
says,"	5",0
sb,"	1",0
sb6,"	1",0
sbc,"	1",0
sbctc,"	1",0
sc,"	2",0
scale,"	22",0
scaled,"	1",0
scan,"	1",0
scandal,"	3",0
scandalous,"	1",0
scanned,"	1",0
scant,"	1",0
scar,"	1",0
scattered,"	2",0
scenarios,"	1",0
scene,"	14",0
scenery,"	1",0
scenes,"	6",0
scents,"	1",0
scepticism,"	1",0
sch,"	1",0
schematics,"	1",0
scheme,"	5",0
schemes,"	2",0
schenk,"	1",0
scholar,"	6",0
scholarly,"	1",0
scholars,"	11",0
scholarship,"	4",0
school,"	25",0
schooling,"	1",0
schools,"	44",0
sci,"	2",0
scicafe,"	1",0
science,"	29",0
sciencedirect,"	2",0
sciences,"	12",0
scientific,"	12",0
scientist,"	2",0
scientists,"	4",0
scmp,"	1",0
scn,"	1",0
scope,"	1",0
score,"	1",0
scorning,"	1",0
scrap,"	1",0
scrapbooking,"	1",0
scraped,"	1",0
scraping,"	1",0
screen,"	2",0
screenings,"	1",0
screenplay,"	1",0
screens,"	1",0
screenshot,"	1",0
screenwriting,"	1",0
screws,"	2",0
scribbling,"	1",0
script,"	2",0
scripts,"	2",0
scroll,"	2",0
sculpted,"	1",0
sculpteurs,"	2",0
sculpting,"	2",0
sculptor,"	3",0
sculptors,"	4",0
sculptural,"	1",0
sculpture,"	47",0
sculptures,"	8",0
se,"	2",0
sea,"	1",0
seal,"	2",0
search,"	6",0
searchIndex,"	1",0
searchable,"	1",0
searches,"	1",0
searchid,"	1",0
searching,"	1",0
searchword,"	1",0
season,"	9",0
seasonal,"	2",0
seasons,"	1",0
seat,"	2",0
seated,"	1",0
seatings,"	1",0
seats,"	1",0
sec,"	1",0
secco,"	3",0
secessions,"	1",0
secolo,"	1",0
second,"	16",0
secondarily,"	1",0
secondary,"	6",0
secret,"	1",0
secrets,"	2",0
sectarian,"	1",0
section,"	13",0
sections,"	2",0
sector,"	14",0
sectors,"	3",0
secular,"	1",0
secularization,"	1",0
secure,"	1",0
securely,"	1",0
securing,"	1",0
security,"	4",0
sedition,"	3",0
seditionart,"	1",0
see,"	43",0
seeded,"	1",0
seek,"	5",0
seeking,"	1",0
seeks,"	3",0
seem,"	4",0
seemed,"	1",0
seemingly,"	2",0
seems,"	4",0
seen,"	27",0
seer,"	1",0
sees,"	2",0
segal,"	1",0
segment,"	2",0
segments,"	2",0
selLang,"	1",0
select,"	2",0
selected,"	4",0
selecting,"	1",0
selection,"	3",0
selective,"	1",0
selenium,"	1",0
self,"	9",0
sell,"	7",0
sellers,"	3",0
selling,"	3",0
sells,"	1",0
semi,"	4",0
semifinal,"	1",0
semifinalist,"	3",0
semifinalists,"	2",0
seminal,"	1",0
semiotic,"	1",0
semiotics,"	1",0
senators,"	1",0
send,"	2",0
senior,"	1",0
seniors,"	1",0
sensations,"	1",0
sense,"	33",0
senses,"	4",0
sensibilities,"	2",0
sensibility,"	1",0
sensitivities,"	1",0
sensitivity,"	1",0
sensory,"	2",0
sent,"	6",0
sentence,"	1",0
sentenced,"	1",0
sentient,"	1",0
sep,"	3",0
separate,"	7",0
separated,"	1",0
separating,"	3",0
separation,"	4",0
sepia,"	1",0
Sep-98,"	1",0
septem,"	1",0
september,"	1",0
Sep-10,"	1",0
sequel,"	1",0
sequence,"	5",0
sequences,"	1",0
sequential,"	1",0
serc,"	2",0
serenades,"	1",0
sergio,"	2",0
serialism,"	1",0
series,"	24",0
serious,"	6",0
seriously,"	1",0
servants,"	1",0
serve,"	4",0
served,"	2",0
servers,"	1",0
serves,"	3",0
service,"	16",0
services,"	5",0
servile,"	1",0
serving,"	4",0
servlet,"	1",0
session,"	2",0
set,"	32",0
sets,"	4",0
setting,"	8",0
settings,"	8",0
settled,"	1",0
seven,"	8",0
sever,"	1",0
several,"	28",0
severely,"	1",0
sewing,"	2",0
sewn,"	1",0
sex,"	1",0
sexes,"	1",0
sexual,"	9",0
sexuality,"	1",0
sfumato,"	2",0
sg,"	2",0
shade,"	3",0
shades,"	1",0
shading,"	1",0
shadow,"	11",0
shadowtheaterfireflies,"	1",0
shakers,"	1",0
shaking,"	1",0
shape,"	12",0
shaped,"	1",0
shapes,"	8",0
shaping,"	2",0
share,"	5",0
shareable,"	1",0
shared,"	6",0
shares,"	1",0
sharing,"	2",0
sharp,"	2",0
sharpened,"	1",0
sharply,"	2",0
shattered,"	1",0
she,"	18",0
sheep,"	2",0
sheet,"	5",0
sheets,"	5",0
shelf,"	1",0
shells,"	1",0
sheng,"	1",0
shenzhen,"	1",0
shift,"	3",0
shifts,"	1",0
shiftyparadigms,"	1",0
shiner,"	1",0
ship,"	4",0
shipbuilders,"	1",0
shirt,"	1",0
shkencave,"	1",0
shkurt,"	1",0
shock,"	1",0
shocked,"	1",0
shocking,"	1",0
shod,"	1",0
shoe,"	1",0
shoemaker,"	1",0
shoes,"	1",0
shooting,"	4",0
shootings,"	1",0
shop,"	4",0
shopping,"	1",0
shops,"	3",0
short,"	11",0
shortened,"	1",0
shorter,"	1",0
shortly,"	1",0
shot,"	17",0
shots,"	28",0
shou,"	1",0
should,"	24",0
shoulders,"	2",0
shovelbum,"	1",0
show,"	43",0
showcase,"	3",0
showcased,"	1",0
showdoc,"	2",0
showed,"	4",0
shower,"	1",0
showing,"	11",0
showman,"	1",0
shown,"	8",0
showpiece,"	8",0
shows,"	13",0
showstudio,"	1",0
shqiptar,"	2",0
shqiptare,"	2",0
shrine,"	2",0
shrinking,"	1",0
sht,"	1",0
shtm,"	2",0
shtml,"	4",0
shtrime,"	1",0
shui,"	1",0
shunga,"	1",0
shuttle,"	1",0
si,"	3",0
si5720,"	1",0
sick,"	2",0
sid,"	1",0
side,"	12",0
sidebar,"	1",0
sides,"	3",0
sig,"	8",0
sight,"	1",0
sighted,"	1",0
sightseeing,"	1",0
siglo,"	1",0
sign,"	4",0
signatories,"	1",0
signature,"	1",0
signed,"	4",0
significance,"	4",0
significant,"	11",0
significantly,"	3",0
signifies,"	1",0
signify,"	2",0
signs,"	3",0
sil,"	1",0
silence,"	1",0
siliconvalleywatcher,"	1",0
silk,"	1",0
silver,"	3",0
silverpoint,"	1",0
simcentre,"	1",0
similar,"	28",0
similarities,"	1",0
similarity,"	1",0
simore,"	2",0
simple,"	8",0
simpler,"	2",0
simplest,"	2",0
simplification,"	1",0
simply,"	15",0
simulate,"	1",0
simultaneous,"	1",0
simultaneously,"	1",0
sinbadesign,"	1",0
since,"	26",0
sine,"	1",0
sinecure,"	1",0
sing,"	1",0
singer,"	6",0
singers,"	2",0
singing,"	2",0
single,"	8",0
singleness,"	1",0
singular,"	5",0
sinter,"	1",0
siriusxm,"	1",0
sistance,"	1",0
sister,"	1",0
sit,"	1",0
site,"	18",0
siteinfo,"	1",0
sites,"	18",0
sits,"	1",0
sitting,"	3",0
situ,"	1",0
situated,"	2",0
situation,"	2",0
situations,"	4",0
six,"	12",0
sixteen,"	1",0
sixteenth,"	4",0
sixth,"	2",0
sizable,"	1",0
size,"	11",0
sized,"	2",0
sizes,"	1",0
skating,"	2",0
skeleton,"	2",0
skeletons,"	2",0
skena,"	2",0
skenaup,"	1",0
skepticism,"	2",0
sketch,"	1",0
sketches,"	1",0
sketching,"	1",0
skill,"	22",0
skilled,"	10",0
skillful,"	1",0
skills,"	22",0
skin,"	5",0
skull,"	2",0
sky,"	1",0
skychick,"	1",0
skyscraper,"	2",0
sl,"	1",0
slain,"	2",0
slang,"	1",0
slate,"	1",0
slated,"	2",0
slavery,"	2",0
slaves,"	1",0
slavy,"	3",0
sleeping,"	1",0
slept,"	1",0
slick,"	2",0
slight,"	1",0
slightly,"	5",0
slim,"	1",0
slowed,"	1",0
slowly,"	3",0
slum,"	6",0
small,"	31",0
smallbiz,"	1",0
smaller,"	5",0
smallest,"	2",0
smart,"	2",0
smashed,"	1",0
sme,"	1",0
smolenski,"	1",0
smooth,"	1",0
